ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Brazil,"DEN 1,2,3,4",2017,Out,7,30.675594586,0.052386440,0.029,32206,30,7,50.16,209288,55,104989
4,Brazil,"DEN 1,2,3,4",2017,Out,12,31.670401261,0.046682435,0.023,61058,44,12,92.12,209288,90,192792
4,Brazil,"DEN 1,2,3,4",2017,Out,17,32.671848045,0.049798140,0.027,91852,77,17,134.33,209288,140,281135
4,Brazil,"DEN 1,2,3,4",2017,Out,19,33.103388752,0.049867499,0.029,103557,90,19,149.47,209288,156,312829
4,Brazil,"DEN 1,2,3,4",2017,Out,24,33.452957326,0.054154105,0.030,124165,111,24,177.35,209288,201,371163
4,Brazil,"DEN 1,2,3,4",2017,Out,26,33.475982986,0.054984957,0.030,129070,117,26,184.22,209288,212,385560
4,Brazil,"DEN 1,2,3,4",2014,Out,19,41.796266957,0.116258744,0.068,150635,244,19,178.39,202034,419,360403
4,Brazil,"DEN 1,2,3,4",2014,Out,24,41.604945855,0.117371922,0.070,189642,320,24,225.61,202034,535,455816
4,Brazil,"DEN 1,2,3,4",2014,Out,26,41.521476699,0.118181568,0.071,196397,337,26,234.12,202034,559,473001
4,Brazil,"DEN 1,2,3,4",2014,Out,31,41.298678425,0.122490398,0.074,206341,371,31,247.30,202034,612,499631
4,Brazil,"DEN 1,2,3,4",2014,Out,33,41.096241553,0.123237458,0.074,208420,376,33,251.02,202034,625,507151
4,Brazil,"DEN 1,2,3,4",2014,Out,38,40.233487350,0.124034237,0.074,212465,389,38,261.38,202034,655,528080
4,Brazil,"DEN 1,2,3,4",2014,Out,43,39.069212626,0.121996403,0.073,216168,403,43,273.86,202034,675,553295
4,Brazil,"DEN 1,2,3,4",2014,Out,45,38.638631706,0.120215785,0.072,217595,405,45,278.74,202034,677,563154
4,Brazil,"DEN 1,2,3,4",2014,Out,50,37.475878039,0.116805547,0.070,220417,409,50,291.12,202034,687,588157
4,Brazil,"DEN 1,2,3,4",2014,Out,52,37.325252347,0.116272772,0.069,220537,409,52,292.45,202034,687,590852
4,Brazil,"DEN 1,2,3,4",2019,Out,26,59.956741972,0.064788090,0.038,1151233,729,26,920.94,208495,1244,1920106
4,Brazil,"DEN 1,2,3,4",2019,Out,38,58.591396233,0.066660830,0.038,1231406,792,38,"1,008.03",208495,1401,2101684
4,Brazil,"DEN 1,2,3,4",2019,Out,43,58.059383905,0.066349431,0.038,1246953,808,43,"1,030.11",208495,1425,2147720
4,Brazil,"DEN 1,2,3,4",2019,Out,50,57.491141276,0.066238480,0.037,1281082,832,50,"1,068.76",208495,1476,2228312
4,Brazil,"DEN 1,2,3,4",2019,Out,52,57.408086028,0.066130919,0.037,1290861,840,52,"1,078.48",208495,1487,2248570
4,Brazil,"DEN 1,2,3,4",2019,Out,31,59.398202017,0.065466529,0.037,1202181,758,31,970.74,208495,1325,2023935
4,Brazil,"DEN 1,2,3,4",2019,Out,33,59.157993650,0.066206361,0.038,1212533,770,33,983.07,208495,1357,2049652
4,Brazil,"DEN 1,2",2019,Out,5,55.135448474,0.092258454,0.048,67531,59,5,58.75,208495,113,122482
4,Brazil,"DEN 1,2",2019,Out,7,56.235683079,0.093045224,0.050,119065,105,7,101.55,208495,197,211725
4,Brazil,"DEN 1,2",2019,Out,12,57.484587868,0.079914758,0.042,302116,219,12,252.07,208495,420,525560
4,Brazil,"DEN 1,2",2019,Out,14,58.178776718,0.076136716,0.042,422567,306,14,348.37,208495,553,726325
4,Brazil,"DEN 1,2",2019,Out,19,59.826520375,0.065060336,0.040,819323,541,19,656.85,208495,891,1369498
4,Brazil,"DEN 1,2",2019,Out,24,60.174045984,0.064253925,0.039,1106011,708,24,881.57,208495,1181,1838020
4,Brazil,"DEN 1,2,3,4",2019,Out,45,57.865420437,0.066241723,0.038,1254417,813,45,"1,039.75",208495,1436,2167818
4,Brazil,"DEN 1,2,3,4",2019,Out,51,57.438097295,0.066177704,0.037,1287151,836,51,"1,074.82",208495,1483,2240936
4,Brazil,"DEN 1,2,3,4",2019,Out,30,59.495964872,0.065103583,0.037,1195337,753,30,963.62,208495,1308,2009106
4,Brazil,"DEN 1,2,3,4",2019,Out,32,59.273840319,0.065909226,0.037,1207794,764,32,977.31,208495,1343,2037651
4,Brazil,"DEN 1,2",2019,Out,1,51.622456863,0.064383209,0.032,8018,5,1,7.45,208495,10,15532
4,Brazil,"DEN 1,2",2019,Out,6,55.871298648,0.090154298,0.049,91720,81,6,78.74,208495,148,164163
4,Brazil,"DEN 1,2",2019,Out,11,57.045604789,0.081049019,0.041,251975,183,11,211.86,208495,358,441708
4,Brazil,"DEN 1,2,4",2022,Out,5,46.462633788,0.070093642,0.035,58995,44,5,59.34,213993,89,126973
4,Brazil,"DEN 1,2,4",2022,Out,7,49.013382904,0.081456611,0.043,93867,82,7,89.49,213993,156,191513
4,Brazil,"DEN 1,2,4",2022,Out,12,57.406618705,0.080959233,0.054,299232,280,12,243.58,213993,422,521250
4,Brazil,"DEN 1,2,4",2022,Out,17,60.004665362,0.072684983,0.053,709968,632,17,552.91,213993,860,1183188
4,Brazil,"DEN 1,2,4",2022,Out,19,59.556434113,0.072085390,0.052,878243,774,19,689.11,213993,1063,1474640
4,Brazil,"DEN 1,2,4",2022,Out,24,56.913186581,0.068572318,0.048,1053236,893,24,864.80,213993,1269,1850601
4,Brazil,"DEN 1,2,4",2022,Out,26,56.097481616,0.066882136,0.047,1086183,910,26,904.82,213993,1295,1936242
4,Brazil,"DEN 1,2,3,4",2022,Out,31,54.791582703,0.064851031,0.045,1133834,936,31,967.02,213993,1342,2069358
4,Brazil,"DEN 1,2,3,4",2022,Out,36,53.886636909,0.063925331,0.044,1159073,953,36,"1,005.15",213993,1375,2150947
4,Brazil,"DEN 1,2,3,4",2022,Out,38,53.581920146,0.063730005,0.044,1166981,960,38,"1,017.76",213993,1388,2177938
4,Brazil,"DEN 1,2,3,4",2022,Out,43,52.756273430,0.063117365,0.043,1184391,976,43,"1,049.11",213993,1417,2245024
4,Brazil,"DEN 1,2,3,4",2022,Out,45,52.420674799,0.062962096,0.043,1191415,983,45,"1,062.09",213993,1431,2272796
4,Brazil,"DEN 1,2,3,4",2022,Out,50,51.402637317,0.061612801,0.042,1208879,989,50,"1,099.00",213993,1449,2351784
4,Brazil,"DEN 1,2,4",2022,Out,4,44.538960907,0.062068825,0.030,43772,29,4,45.93,213993,61,98278
4,Brazil,"DEN 1,2,4",2022,Out,6,47.931054127,0.078491445,0.038,75721,60,6,73.82,213993,124,157979
4,Brazil,"DEN 1,2,4",2022,Out,11,55.882940757,0.080656674,0.051,234876,213,11,196.41,213993,339,420300
4,Brazil,"DEN 1,2,4",2022,Out,13,58.551486033,0.076897743,0.053,371573,339,13,296.56,213993,488,634609
4,Brazil,"DEN 1,2,4",2022,Out,18,60.006181956,0.073541380,0.054,803712,718,18,625.90,213993,985,1339382
4,Brazil,"DEN 1,2,4",2022,Out,25,56.471595318,0.067574976,0.048,1071352,905,25,886.55,213993,1282,1897152
4,Brazil,"DEN 1,2,3,4",2022,Out,30,55.010585055,0.065161345,0.046,1126191,934,30,956.68,213993,1334,2047226
4,Brazil,"DEN 1,2,3,4",2022,Out,32,54.597493917,0.064790193,0.045,1140148,940,32,975.86,213993,1353,2088279
4,Brazil,"DEN 1,2,3,4",2022,Out,37,53.731188150,0.063841798,0.044,1163133,956,37,"1,011.59",213993,1382,2164726
4,Brazil,"DEN 1,2,3,4",2022,Out,44,52.598368911,0.063112356,0.043,1187607,980,44,"1,055.12",213993,1425,2257878
4,Brazil,"DEN 1,2,3,4",2022,Out,49,51.601963657,0.061904405,0.042,1206183,988,49,"1,092.31",213993,1447,2337475
4,Brazil,"DEN 1,2,3,4",2022,Out,51,51.272238329,0.061425998,0.042,1210314,991,51,"1,103.10",213993,1450,2360564
4,Brazil,"DEN 1,2",2019,Out,13,57.802327175,0.078217606,0.041,358412,257,13,297.40,208495,485,620065
4,Brazil,"DEN 1,2",2019,Out,18,59.497034888,0.065990952,0.040,730291,495,18,588.71,208495,810,1227441
4,Brazil,"DEN 1,2",2019,Out,20,60.151114917,0.065256287,0.039,903332,588,20,720.29,208495,980,1501771
4,Brazil,"DEN 1,2",2019,Out,25,60.067795637,0.064883582,0.038,1130375,720,25,902.58,208495,1221,1881832
4,Brazil,"DEN 1,2,3,4",2019,Out,37,58.706774020,0.066502427,0.037,1227942,784,37,"1,003.21",208495,1391,2091653
4,Brazil,"DEN 1,2,3,4",2019,Out,39,58.496079775,0.066577013,0.038,1234465,795,39,"1,012.18",208495,1405,2110338
4,Brazil,"DEN 1,2,3,4",2019,Out,44,57.958447918,0.066328704,0.038,1250417,811,44,"1,034.77",208495,1431,2157437
4,Brazil,"DEN 1,2,3,4",2019,Out,27,59.840245089,0.064615815,0.038,1166877,736,27,935.27,208495,1260,1949987
4,Brazil,"DEN 1,2,3,4",2019,Out,29,59.603625487,0.065142329,0.038,1187638,751,29,955.69,208495,1298,1992560
4,Brazil,"DEN 1,2,3,4",2019,Out,34,59.050419328,0.066482973,0.038,1216839,776,34,988.36,208495,1370,2060678
4,Brazil,"DEN 1,2",2019,Out,3,52.990577988,0.090229217,0.038,30539,22,3,27.64,208495,52,57631
4,Brazil,"DEN 1,2",2019,Out,8,56.212541304,0.087735957,0.048,148002,126,8,126.28,208495,231,263290
4,Brazil,"DEN 1,2",2019,Out,10,56.660473970,0.083318279,0.043,210135,159,10,177.88,208495,309,370867
4,Brazil,"DEN 1,2",2019,Out,15,58.620160297,0.072234817,0.041,492594,344,15,403.04,208495,607,840315
4,Brazil,"DEN 1,2,3,4",2019,Out,48,57.625711015,0.066376506,0.037,1268388,825,48,"1,055.70",208495,1461,2201080
4,Brazil,"DEN 1,2,3,4",2019,Out,46,57.779128604,0.066342499,0.038,1258482,820,46,"1,044.67",208495,1445,2178091
4,Brazil,"DEN 1,2",2019,Out,17,59.235251775,0.068955715,0.042,645993,459,17,523.06,208495,752,1090555
4,Brazil,"DEN 1,2",2019,Out,22,60.318858575,0.064486277,0.039,1029848,658,22,818.89,208495,1101,1707340
4,Brazil,"DEN 1,2,3,4",2019,Out,36,58.828280829,0.066406774,0.038,1224283,781,36,998.16,208495,1382,2081113
4,Brazil,"DEN 1,2,3,4",2019,Out,41,58.277005050,0.066602882,0.038,1240739,803,41,"1,021.15",208495,1418,2129037
4,Brazil,"DEN 1,2,4",2022,Out,1,42.898002103,0.058885384,0.021,10199,5,1,11.11,213993,14,23775
4,Brazil,"DEN 1,2,4",2022,Out,3,43.213093396,0.055641506,0.027,31842,20,3,34.43,213993,41,73686
4,Brazil,"DEN 1,2,4",2022,Out,8,50.136581732,0.082924623,0.046,113061,104,8,105.38,213993,187,225506
4,Brazil,"DEN 1,2,4",2022,Out,10,54.341202233,0.081311314,0.050,185122,169,10,159.19,213993,277,340666
4,Brazil,"DEN 1,2,4",2022,Out,15,60.012199706,0.074616283,0.053,533236,472,15,415.22,213993,663,888546
4,Brazil,"DEN 1,2,4",2022,Out,20,59.133399067,0.071306937,0.051,933769,812,20,737.92,213993,1126,1579089
4,Brazil,"DEN 1,2,4",2022,Out,22,57.814030827,0.069397490,0.049,1005534,858,22,812.76,213993,1207,1739256
4,Brazil,"DEN 1,2,4",2022,Out,27,55.774773037,0.066464244,0.046,1098473,915,27,920.35,213993,1309,1969480
4,Brazil,"DEN 1,2,4",2022,Out,29,55.231698908,0.065595666,0.046,1118179,930,29,946.07,213993,1328,2024524
4,Brazil,"DEN 1,2,3,4",2022,Out,34,54.214854690,0.064326623,0.045,1150430,945,34,991.61,213993,1365,2121983
4,Brazil,"DEN 1,2,3,4",2022,Out,39,53.433133951,0.063676300,0.044,1170596,963,39,"1,023.76",213993,1395,2190768
4,Brazil,"DEN 1,2,3,4",2022,Out,41,53.119001660,0.063546327,0.044,1177797,973,41,"1,036.15",213993,1409,2217280
4,Brazil,"DEN 1,2,3,4",2022,Out,46,52.217111589,0.062643969,0.043,1195316,983,46,"1,069.72",213993,1434,2289127
4,Brazil,"DEN 1,2,3,4",2022,Out,48,51.820564313,0.062072524,0.043,1203003,988,48,"1,084.84",213993,1441,2321478
4,Brazil,"DEN 1,2,3,4",2019,Out,47,57.693296668,0.066315814,0.038,1263208,823,47,"1,050.16",208495,1452,2189523
4,Brazil,"DEN 1,2,3,4",2019,Out,49,57.558677304,0.066255853,0.037,1274432,828,49,"1,061.97",208495,1467,2214144
4,Brazil,"DEN 1,2,3,4",2019,Out,28,59.725378078,0.065014564,0.038,1178623,742,28,946.50,208495,1283,1973404
4,Brazil,"DEN 1,2,3,4",2019,Out,35,58.940830005,0.066489651,0.038,1220664,777,35,993.31,208495,1377,2070999
4,Brazil,"DEN 1,2",2019,Out,2,51.906023264,0.086375677,0.035,18028,12,2,16.66,208495,30,34732
4,Brazil,"DEN 1,2",2019,Out,4,54.271859164,0.088482355,0.044,47229,38,4,41.74,208495,77,87023
4,Brazil,"DEN 1,2",2019,Out,9,56.473263335,0.084711487,0.045,177330,141,9,150.61,208495,266,314007
4,Brazil,"DEN 1,2",2019,Out,16,58.917213418,0.070706881,0.042,564117,401,16,459.23,208495,677,957474
4,Brazil,"DEN 1,2",2019,Out,21,60.305923221,0.064482480,0.039,973574,632,21,774.31,208495,1041,1614392
4,Brazil,"DEN 1,2",2019,Out,23,60.296829230,0.064608702,0.038,1073251,683,23,853.71,208495,1150,1779946
4,Brazil,"DEN 1,2,3,4",2019,Out,40,58.385082034,0.066560999,0.038,1237682,800,40,"1,016.74",208495,1411,2119860
4,Brazil,"DEN 1,2,3,4",2019,Out,42,58.163994404,0.066494834,0.038,1243844,807,42,"1,025.69",208495,1422,2138512
4,Brazil,"DEN 1,2,4",2022,Out,2,42.587937088,0.049863913,0.023,20498,11,2,22.49,213993,24,48131
4,Brazil,"DEN 1,2,4",2022,Out,9,52.243690923,0.080552985,0.046,143981,127,9,128.79,213993,222,275595
4,Brazil,"DEN 1,2,4",2022,Out,14,59.257117966,0.074842593,0.052,448926,394,14,354.03,213993,567,757590
4,Brazil,"DEN 1,2,4",2022,Out,16,60.204765400,0.072916082,0.054,621731,553,16,482.58,213993,753,1032694
4,Brazil,"DEN 1,2,4",2022,Out,21,58.408170209,0.069972654,0.050,971624,832,21,777.37,213993,1164,1663507
4,Brazil,"DEN 1,2,4",2022,Out,23,57.318631494,0.068887115,0.049,1032594,880,23,841.85,213993,1241,1801498
4,Brazil,"DEN 1,2,4",2022,Out,28,55.481844571,0.065879679,0.046,1109137,924,28,934.19,213993,1317,1999099
4,Brazil,"DEN 1,2,3,4",2022,Out,33,54.401644871,0.064531753,0.045,1145666,941,33,984.12,213993,1359,2105940
4,Brazil,"DEN 1,2,3,4",2022,Out,35,54.050155525,0.064213150,0.044,1154854,950,35,998.46,213993,1372,2136634
4,Brazil,"DEN 1,2,3,4",2022,Out,40,53.277793380,0.063609912,0.044,1174274,966,40,"1,029.97",213993,1402,2204059
4,Brazil,"DEN 1,2,3,4",2022,Out,42,52.934528445,0.063454108,0.044,1181252,975,42,"1,042.81",213993,1416,2231534
4,Brazil,"DEN 1,2,3,4",2022,Out,47,52.023089295,0.062373020,0.043,1199384,986,47,"1,077.36",213993,1438,2305484
4,Brazil,"DEN 1,2,3,4",2022,Out,52,51.227633711,0.061349953,0.042,1210760,991,52,"1,104.47",213993,1450,2363490
4,Brazil,"DEN 1,2,3,4",2016,Out,38,47.670385300,0.042326802,0.032,1017000,690,38,"1,018.00",209568,903,2133400
4,Brazil,"DEN 1,2,3,4",2016,Out,40,47.577591743,0.042193778,0.032,1019348,692,40,"1,022.34",209568,904,2142496
4,Brazil,"DEN 1,2,3,4",2016,Out,45,47.263691214,0.042040739,0.032,1026427,700,45,"1,036.28",209568,913,2171703
4,Brazil,"DEN 1,2,3,4",2016,Out,50,46.900942013,0.041905458,0.032,1036387,704,50,"1,054.42",209568,926,2209736
4,Brazil,"DEN 1,2,3,4",2016,Out,52,46.798262720,0.041927834,0.032,1039147,707,52,"1,059.55",209568,931,2220482
4,Brazil,"DEN 1,2,3,4",2016,Out,33,47.887343306,0.042284421,0.032,1010195,680,33,"1,006.61",209568,892,2109524
4,Brazil,"DEN 1,2,3,4",2016,Out,26,48.179173160,0.042159987,0.032,994210,664,26,984.68,209568,870,2063568
4,Brazil,"DEN 1,2,3,4",2016,Out,31,47.971785424,0.042223692,0.032,1006615,677,31,"1,001.27",209568,886,2098348
4,Brazil,"DEN 1,4",2016,Out,2,47.630302195,0.047269218,0.031,72550,47,2,72.68,209568,72,152319
4,Brazil,"DEN 1,2,3,4",2016,Out,7,47.951369546,0.049004620,0.035,343456,249,7,341.78,209568,351,716259
4,Brazil,"DEN 1,2,3,4",2016,Out,12,47.690083137,0.044176040,0.033,652046,450,12,652.42,209568,604,1367257
4,Brazil,"DEN 1,2,3,4",2016,Out,14,47.859506839,0.043982095,0.033,767152,523,14,764.87,209568,705,1602925
4,Brazil,"DEN 1,2,3,4",2016,Out,19,48.461120622,0.042219619,0.033,941224,634,19,926.78,209568,820,1942225
4,Brazil,"DEN 1,2,3,4",2016,Out,21,48.420241588,0.042732731,0.033,966530,656,21,952.50,209568,853,1996128
4,Brazil,"DEN 1,2,3,4",2016,Out,37,47.711920581,0.042327038,0.032,1015626,686,37,"1,015.74",209568,901,2128663
4,Brazil,"DEN 1,2,3,4",2016,Out,39,47.624460051,0.042283793,0.032,1018180,691,39,"1,020.16",209568,904,2137935
4,Brazil,"DEN 1,2,3,4",2016,Out,44,47.326998788,0.041932691,0.032,1024807,696,44,"1,033.26",209568,908,2165375
4,Brazil,"DEN 1,2,3,4",2016,Out,46,47.199775626,0.042001300,0.032,1028249,701,46,"1,039.52",209568,915,2178504
4,Brazil,"DEN 1,2,3,4",2016,Out,51,46.840473594,0.041961279,0.032,1038139,707,51,"1,057.57",209568,930,2216329
4,Brazil,"DEN 1,2,3,4",2016,Out,25,48.228671247,0.042209849,0.032,990628,663,25,980.12,209568,867,2054023
4,Brazil,"DEN 1,2,3,4",2016,Out,27,48.134343845,0.042131456,0.032,997385,666,27,988.74,209568,873,2072086
4,Brazil,"DEN 1,2,3,4",2016,Out,32,47.930357888,0.042303557,0.032,1008379,678,32,"1,003.89",209568,890,2103842
4,Brazil,"DEN 1,4",2016,Out,1,46.744989634,0.046993780,0.032,33820,23,1,34.52,209568,34,72350
4,Brazil,"DEN 1,2,3,4",2016,Out,6,48.160982730,0.049002991,0.034,274206,196,6,271.68,209568,279,569353
4,Brazil,"DEN 1,2,3,4",2016,Out,8,47.815761725,0.046218663,0.033,411753,280,8,410.90,209568,398,861124
4,Brazil,"DEN 1,2,3,4",2016,Out,13,47.678252392,0.044345987,0.033,709594,492,13,710.17,209568,660,1488297
4,Brazil,"DEN 1,2,3,4",2016,Out,18,48.476671561,0.042370899,0.033,922147,625,18,907.70,209568,806,1902249
4,Brazil,"DEN 1,2,3,4",2016,Out,20,48.438810827,0.042301099,0.033,956155,646,20,941.91,209568,835,1973944
4,Brazil,"DEN 1,2,3,4",2016,Out,36,47.758878293,0.042284871,0.032,1014251,684,36,"1,013.37",209568,898,2123691
4,Brazil,"DEN 1,2,3,4",2016,Out,41,47.522741590,0.042091207,0.032,1020654,693,41,"1,024.83",209568,904,2147717
4,Brazil,"DEN 1,2,3,4",2016,Out,43,47.390757674,0.041957945,0.032,1023311,694,43,"1,030.36",209568,906,2159305
4,Brazil,"DEN 1,2,3,4",2016,Out,48,47.050432435,0.041974238,0.032,1032382,703,48,"1,047.01",209568,921,2194203
4,Brazil,"DEN 1,2,3,4",2016,Out,34,47.845200404,0.042277399,0.032,1011737,681,34,"1,009.03",209568,894,2114605
4,Brazil,"DEN 1,2,3,4",2016,Out,29,48.054445335,0.042225378,0.032,1002619,672,29,995.58,209568,881,2086423
4,Brazil,"DEN 1, 4",2016,Out,3,48.083425881,0.043925807,0.031,116033,74,3,115.15,209568,106,241316
4,Brazil,"DEN 1,2,3,4",2016,Out,5,48.396124962,0.047695540,0.032,215114,144,5,212.10,209568,212,444486
4,Brazil,"DEN 1,2,3,4",2016,Out,10,47.530418793,0.045660205,0.033,538176,374,10,540.29,209568,517,1132277
4,Brazil,"DEN 1,2,3,4",2016,Out,15,48.005100427,0.043481552,0.033,818089,559,15,813.18,209568,741,1704171
4,Brazil,"DEN 1,2,3,4",2016,Out,17,48.402836088,0.042632103,0.033,895800,608,17,883.11,209568,789,1850718
4,Brazil,"DEN 1,2,3,4",2016,Out,22,48.383641815,0.042682676,0.033,974867,659,22,961.44,209568,860,2014869
4,Brazil,"DEN 1,2,3,4",2016,Out,24,48.283390455,0.042284519,0.032,986575,661,24,975.01,209568,864,2043301
4,Brazil,"DEN 1,2,3,4",2016,Out,35,47.801335710,0.042280644,0.032,1012993,683,35,"1,011.21",209568,896,2119173
4,Brazil,"DEN 1,2,3,4",2016,Out,42,47.455868191,0.042067883,0.032,1022039,693,42,"1,027.67",209568,906,2153662
4,Brazil,"DEN 1,2,3,4",2016,Out,47,47.124757963,0.041854804,0.032,1030208,701,47,"1,043.16",209568,915,2186129
4,Brazil,"DEN 1,2,3,4",2016,Out,49,46.974552806,0.041956403,0.032,1034514,703,49,"1,050.87",209568,924,2202286
4,Brazil,"DEN 1,2,3,4",2016,Out,28,48.093051747,0.042167739,0.032,1000234,669,28,992.42,209568,877,2079789
4,Brazil,"DEN 1,2,3,4",2016,Out,30,48.015956460,0.042103875,0.032,1004707,672,30,998.46,209568,881,2092444
4,Brazil,"DEN 1,2,3,4",2016,Out,4,48.428555776,0.046197173,0.031,163535,103,4,161.13,209568,156,337683
4,Brazil,"DEN 1,2,3,4",2016,Out,9,47.588517253,0.045845490,0.033,476451,329,9,477.74,209568,459,1001189
4,Brazil,"DEN 1,2,3,4",2016,Out,11,47.577754912,0.044281195,0.033,597392,411,11,599.14,209568,556,1255612
4,Brazil,"DEN 1,2,3,4",2016,Out,16,48.214812993,0.042806612,0.033,860524,584,16,851.64,209568,764,1784771
4,Brazil,"DEN 1,2,3,4",2016,Out,23,48.340680121,0.042460147,0.033,981383,661,23,968.73,209568,862,2030139
